#Gene_ID	YL.RS.145.1	YL.RS.1488	YL.RS.Si051.12	YL.RS.Si062	YL.RS.Si080	YL.RS.Si214	YL.RS.Si255	YL.RS.Si268	YL.RP.112	YL.RP.1488	YL.RP.342	YL.RP.348	YL.RP.64	YL.RP.977	YL.RP.995	YL.RP.9	YL.RP.Si051	YL.RP.Si062	YL.RP.Si079	YL.RP.Si080	YL.RP.Si081	YL.RP.Si083	YL.RP.Si090	YL.RP.Si214	YL.RP.Si248	YL.RP.Si249	YL.RP.Si268	YL.RS.1489	YL.RS.1606	YL.RS.251	YL.RS.342	YL.RS.348	YL.RS.37	YL.RS.427	YL.RS.53	YL.RS.642	YL.RS.977	YL.RS.995	YL.RS.9	YL.RS.Si079	YL.RS.Si081	YL.RS.Si083	YL.RS.Si090	YL.RS.Si227	YL.RS.Si248	YL.RS.Si249
8samples_10223695	1.73373724792079e-08	6.5017576699272e-08	5.19219341776983e-08	9.22082620073408e-08	6.75156841245254e-08	1.60631225500685e-08	1.84984431984835e-08	5.42695962587851e-08	6.59611710192563e-08	2.17353439883129e-07	6.79291905038905e-08	1.99760701921421e-07	5.68189816161814e-08	9.46069470814405e-08	9.75734436886603e-08	2.40128571819423e-08	6.26900980226918e-08	6.87797029469675e-08	9.48075221881335e-08	1.41241677126142e-07	1.16825100137881e-07	6.76206556469969e-08	1.11327416427133e-07	3.43909635123423e-08	7.08849257561942e-08	1.25671981972118e-07	8.34772800153062e-08	2.47384928548975e-08	3.539939390101e-08	2.67153576880795e-08	1.90627181908169e-08	4.82982063843708e-08	0	0	2.31534533767628e-08	3.20688534125185e-08	4.99046555594184e-08	3.48652537201669e-08	0	3.47984213753635e-08	7.47056134594475e-08	5.32373783146993e-08	3.68008559682486e-08	1.30261170430379e-08	1.83599243040382e-08	5.30760128236016e-08
8samples_13447926	0	0	2.84509867279086e-07	6.87430770520677e-09	1.77650376950048e-08	1.79630617764207e-08	0	6.74317564027915e-09	2.21289089871053e-08	0	5.84337122614112e-09	0	0	0	0	6.71327190032796e-09	4.13619829534663e-07	0	1.32526643918896e-08	2.25639545639305e-08	0	1.89046994281927e-08	1.31047553009867e-08	7.69174237695397e-09	3.6031438312044e-08	0	7.77924473260919e-09	0	0	0	0	0	0	0	0	0	0	0	1.13217080304276e-08	0	0	8.50489607485211e-09	0	0	0	0
8samples_13974848	0	0	0	0	0	0	0	0	2.01763581941254e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8samples_16662688	2.99019359508726e-08	7.64566709263261e-08	2.68650803705503e-08	0	0	2.77042246303006e-08	4.78566689712012e-08	3.11997678878587e-08	1.70645815572205e-08	0	1.35182468664459e-08	0	2.09991971857955e-08	0	2.10357341285669e-08	1.55307036500124e-08	0	0	0	0	0	0	1.51584856093503e-08	1.77943293795204e-08	0	0	0	2.13333603392151e-08	2.28951303837378e-08	0	4.93164848717652e-08	0	4.28253250125055e-08	1.6291673307442e-08	5.98994813727198e-08	2.07410494707832e-08	3.22766428991263e-08	0	7.85760333455047e-08	0	6.44227512419779e-08	5.90265175344213e-08	9.52061945447225e-08	1.68497036377605e-08	0	0
8samples_16926358	0	0	2.85636030841544e-07	8.05177098972581e-09	1.04039578440519e-08	0	0	0	8.63975036020485e-09	0	0	0	1.06318353509947e-08	0	0	1.57263044516499e-08	4.26987468648259e-07	3.75372014404104e-08	3.10452843437212e-08	0	7.65101411482347e-09	5.53569599125289e-08	2.3024097789517e-08	1.80184393213279e-08	2.53218420379352e-08	0	9.11170982534829e-09	0	0	0	0	0	0	8.24842905490139e-09	0	0	0	0	1.32609426552867e-08	0	0	0	0	0	0	0
8samples_17187397	1.02915909693929e-07	0	1.84927436797282e-08	0	1.41451070687966e-08	0	0	2.14765525529439e-08	0	0	0	2.37158824198948e-08	0	0	2.89601545194654e-08	2.13813111894007e-08	0	0	0	0	0	0	0	0	0	0	2.47763616483786e-08	0	0	0	0	0	0	2.24289474986017e-08	0	0	0	0	3.60588646174576e-08	0	2.21728989719821e-08	0	5.24286167218883e-08	0	0	0
8samples_2751902	1.60274376696678e-08	2.45884653699065e-08	1.4399683078615e-08	2.55724246633692e-08	2.2028646741806e-08	1.48494644018412e-08	0	2.50846133818385e-08	3.65864628586809e-08	2.41117415977018e-08	1.449156064083e-08	5.54003013328742e-08	0	0	0	8.32445715640667e-09	0	1.58957535699658e-08	0	1.86528691061826e-08	2.42996208286794e-08	0	2.43748448598354e-08	0	5.36147802083214e-08	5.44578588545843e-08	4.82313173421769e-08	0	2.4543579771367e-08	0	0	5.58112607108284e-08	0	1.74646737855779e-08	0	1.11172025163398e-08	1.73002805939317e-08	0	1.40389179577302e-08	0	2.58979459992752e-08	0	2.04122081103885e-08	3.61257645993585e-08	0	9.19984222275762e-09
8samples_3021028	0	1.40345121974352e-08	1.84927436797282e-08	3.64903319968167e-08	5.18653925855876e-08	0	1.09808110310633e-08	5.0111955956869e-08	6.26480528402069e-08	1.54827107861956e-07	8.68501065803167e-08	1.34390000379404e-07	5.78197073197932e-08	8.23670833037807e-08	4.8266924199109e-08	8.55252447576028e-08	2.23279801176711e-08	2.72187561129552e-08	5.62784378285724e-08	4.79097665398524e-08	1.3869646591712e-07	5.01751440303059e-08	9.04317874366038e-08	2.44976726389287e-08	8.4155619619226e-08	1.21224685806438e-07	7.43290849451357e-08	9.78996673100967e-09	1.05066694226742e-08	0	2.26315375781388e-08	1.91134454489139e-08	9.82635882136258e-09	0	9.16270605473111e-09	1.9036305678664e-08	2.96237681402941e-08	8.27850773264236e-09	3.60588646174576e-08	5.78384720576817e-08	2.95638652959762e-08	3.61166819617007e-08	8.73810278698138e-09	1.54647964894514e-08	2.17971704066208e-08	3.15063089820466e-08
8samples_3021029	4.08863205858871e-08	7.31799564580551e-08	1.8366942702315e-08	9.78536658037089e-08	8.4293291103849e-08	9.47032168484764e-09	2.45387511816619e-08	5.33261338899627e-08	1.9833222850688e-07	4.76698972913747e-07	1.66357201234017e-07	2.94431873580327e-07	1.57922533938075e-07	2.56575756710663e-07	1.29434159995162e-07	1.59268950696556e-07	5.5440222741156e-08	2.12889556740614e-07	1.04804233711372e-07	2.97399061004186e-07	2.58286786019126e-07	1.04651014691781e-07	2.07269088944178e-07	7.29930654139508e-08	3.53328696100758e-07	2.63953907713547e-07	1.96862519763987e-07	1.45850524768103e-08	4.69583796646052e-08	0	7.86715353906731e-08	2.84751330157288e-08	1.46392692644789e-08	5.56909240611539e-08	1.36505620815382e-08	1.41801052504334e-08	4.41333688620706e-08	2.46665740605262e-08	3.58135662186994e-08	4.92385826263646e-08	7.70772202359379e-08	5.38064853715133e-08	5.20719594652768e-08	2.30393906883663e-08	5.41222258395686e-08	3.52034778932052e-08
8samples_3359761	9.98386898027471e-09	1.02111567150774e-08	6.27893157497746e-08	4.24791107364936e-08	4.80275728382397e-08	2.77502449369954e-08	4.79361650990604e-08	4.16687929930871e-08	1.02557568229275e-07	1.95257043669097e-07	3.15949723273909e-07	1.4954400276731e-07	1.54249916869747e-07	3.05089069657978e-07	3.37130835336235e-07	5.18550072035299e-08	1.08301830471095e-08	2.97055195452019e-08	4.0946770380257e-08	1.27812433659473e-07	2.01824093261456e-07	1.02217270164065e-07	3.03673316360075e-08	5.94129602206577e-08	1.11326370864454e-08	2.7138467867733e-08	2.04302091731813e-07	0	1.52887747745225e-08	4.61527774013333e-08	6.58645412573077e-08	2.78129206200142e-08	2.85976422840984e-08	3.26374717753739e-08	2.66662142988188e-08	1.38503353608884e-08	2.15535057233368e-08	0	8.7451731464266e-08	0	3.22648828894623e-08	0	1.27152459159396e-08	0	0	0
8samples_3669103	0	0	8.01962547695142e-08	1.58245202124809e-08	3.06710737432323e-08	1.3783537501709e-08	2.38098773841868e-08	1.55226567956921e-08	1.69801034306996e-08	0	0	0	0	0	0	0	4.84141351066333e-08	1.47547217543e-08	3.05073710011321e-08	1.73139255317288e-08	0	0	3.01668872027665e-08	0	3.31774630001989e-08	6.06585061499082e-08	0	0	0	0	0	0	0	0	0	0	0	0	2.6062347693806e-08	0	1.60259566827198e-08	0	0	5.02988677899484e-08	1.5754390491914e-08	0
8samples_533271	7.51286140765675e-08	5.91068879084291e-08	4.67297407599285e-08	7.37666096058726e-08	1.70774965726741e-07	2.67718709167809e-08	4.62461079962089e-08	9.64792822378406e-08	1.71499044650067e-07	6.78142732435363e-07	2.82167406708468e-07	1.99760701921421e-07	3.16562897575868e-07	2.71206581633463e-07	8.13112030738836e-08	1.92102857455538e-07	5.64210882204227e-08	1.71949257367418e-07	1.54062223555717e-07	6.86031003184118e-07	3.4463404540675e-07	1.77504221073367e-07	2.34373508267647e-07	3.43909635123423e-08	4.70418143654744e-07	3.92724943662867e-07	2.15649640039541e-07	4.94769857097951e-08	3.539939390101e-08	1.78102384587196e-08	1.01667830351024e-07	3.21988042562471e-08	4.13840881130463e-08	5.03788666891669e-08	6.17425423380343e-08	2.40516400593889e-08	6.23808194492731e-08	6.27574566963004e-08	5.06210984052772e-08	8.35162113008722e-08	7.47056134594475e-08	3.0421359036971e-08	2.94406847745988e-08	6.51305852151896e-08	3.05998738400638e-08	5.97105144265518e-08
8samples_5987338	0	0	0	0	2.08604609297405e-08	0	0	0	3.46462716464781e-08	4.56661772683747e-08	5.4892275154659e-08	1.04924813130444e-07	0	6.62567171479448e-08	0	0	0	0	0	0	9.2044018290452e-08	0	0	0	3.38477147779808e-08	4.12559536777154e-08	0	0	0	0	0	4.2281258114264e-08	0	0	0	0	0	0	0	0	0	0	3.8659485057554e-08	0	3.21453220138044e-08	0
8samples_5987339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.20547970008984e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.94423997852025e-08	0	0	0	0	0	0	0	0
8samples_6051614	0	0	2.70961778361034e-07	3.43715385260338e-08	3.70104951979267e-08	9.97947876467817e-09	0	0	4.91753533046785e-08	0	9.73895204356853e-09	0	4.53853616596226e-08	0	0	2.23775730010932e-08	4.20630335119996e-07	0	4.41755479729654e-08	2.50710606265894e-08	0	0	1.0920629417489e-08	2.56391412565132e-08	3.6031438312044e-08	0	1.2965407887682e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41748267914202e-08	0	0	0	0
8samples_6983666	0	4.34937477062025e-08	0	1.50780805798167e-08	9.74144166058637e-09	2.62667412768416e-08	2.26867699604043e-08	2.95809120068849e-08	1.61791551556667e-08	1.06626215791724e-07	2.56336567939209e-08	4.89979080184618e-08	1.99096161997401e-08	1.54703183906758e-08	0	0	0	1.40587443130594e-08	2.90683440671165e-08	3.29944618623511e-08	4.29828198620507e-08	0	0	0	3.16124883303782e-08	5.77972558598182e-08	1.70629660408645e-08	0	0	0	1.55858702189069e-08	0	0	0	0	0	3.06019114279453e-08	0	0	1.70709236935746e-08	4.58100459892838e-08	1.86546069566332e-08	0	0	0	0
8samples_7915315	0	0	2.47700970389019e-08	9.77539169089039e-09	5.05244191325824e-08	1.70292022956894e-08	2.94164845969769e-08	4.79445974423518e-08	1.15381620253867e-07	2.07383098604086e-07	4.81944103880814e-07	1.4824239653292e-07	1.41985397485608e-07	3.51039028926038e-07	2.71534659806364e-07	8.59175623941056e-08	4.98453378773696e-08	6.38017631822022e-08	5.65365958002631e-08	1.49736334567979e-07	2.4150999294559e-07	1.74738391503707e-07	5.59056074766866e-08	1.64066981893742e-07	5.1237366407035e-08	1.24903345996753e-08	1.43808973726674e-07	0	4.22194606158835e-08	0	8.08368070069301e-08	2.56014957389121e-08	0	8.01131825026508e-08	4.90919296877336e-08	2.54981709090362e-08	3.96795426466324e-08	0	6.439870622812e-08	0	2.96994793569669e-08	1.20941182715787e-08	7.02254866183091e-08	1.03571572819262e-08	1.94641399349641e-08	0
