K00270	K00925	K00960	K01028	K01029	K01077	K01617	K01761	K05565	K05566	K05568	K05569	K05832	K05833	K05913	K05934	K06023	K06414	K07038	K07309	K07310	K08138	K09607	K10190	K10938	K10975	K11943	K11947	K14732	K14749	K14940	K15147	K16601	K18591	K18892	K19510	K19960	K20257
MGS_Rhizobiaceae_4	0	1	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0
MGS_Rhizobiaceae_7	0	1	0	0	0	1	0	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
MGS_Bacillaceae_9	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
MGS_Bacillus_10	0	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0
MGS_Bacillaceae_11	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MGS_Bacillus_12	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0
MGS_Rhizobiaceae_15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MGS_Bacillus_18	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
MGS_Bacillus_20	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
